 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    200.000     199.843         0.400      250.637      1.5957e-01      8.0444e-02      1.2836e-02      5.0858e-03    1.275e+00     4.326e+01       4.60e+01    5.79e+00    260806 
    200.000     199.843         0.500      250.637      1.5957e-01      8.6242e-02      1.3762e-02      5.4436e-03    1.364e+00     4.041e+01       4.93e+01    6.20e+00    298361 
    200.000     199.843         0.600      250.637      1.5957e-01      8.8493e-02      1.4121e-02      5.5764e-03    1.398e+00     3.945e+01       5.05e+01    6.35e+00    324921 
    200.000     199.843         0.700      250.637      1.5957e-01      8.9005e-02      1.4203e-02      5.5995e-03    1.403e+00     3.929e+01       5.07e+01    6.38e+00    345903 
    200.000     199.843         0.800      250.637      1.5957e-01      8.7990e-02      1.4041e-02      5.5312e-03    1.386e+00     3.977e+01       5.00e+01    6.30e+00    362286 
    200.000     199.843         0.900      250.637      1.5957e-01      8.6578e-02      1.3815e-02      5.4292e-03    1.361e+00     4.052e+01       4.91e+01    6.19e+00    375112 
    200.000     199.843         1.000      250.637      1.5957e-01      8.4581e-02      1.3497e-02      5.2982e-03    1.328e+00     4.152e+01       4.79e+01    6.04e+00    384537 
    200.000     199.843         1.500      250.637      1.5957e-01      7.4131e-02      1.1829e-02      4.6124e-03    1.156e+00     4.770e+01       4.17e+01    5.25e+00    414335 
    200.000     199.843         2.000      250.637      1.5957e-01      6.4928e-02      1.0361e-02      4.0242e-03    1.009e+00     5.467e+01       3.64e+01    4.58e+00    426848 
    200.000     199.843         2.500      250.637      1.5957e-01      5.7354e-02      9.1520e-03      3.5461e-03    8.888e-01     6.204e+01       3.21e+01    4.04e+00    433825 
    200.000     199.843         3.000      250.637      1.5957e-01      5.1161e-02      8.1638e-03      3.1513e-03    7.898e-01     6.981e+01       2.85e+01    3.59e+00    437156 
    200.000     199.843         4.000      250.637      1.5957e-01      4.1983e-02      6.6992e-03      2.5763e-03    6.457e-01     8.540e+01       2.33e+01    2.94e+00    441210 
    200.000     199.843         5.000      250.637      1.5957e-01      3.5513e-02      5.6668e-03      2.1733e-03    5.447e-01     1.012e+02       1.97e+01    2.48e+00    442495 
    200.000     199.843         6.000      250.637      1.5957e-01      3.0868e-02      4.9257e-03      1.8866e-03    4.728e-01     1.166e+02       1.71e+01    2.15e+00    443337 
    200.000     199.843         7.000      250.637      1.5957e-01      2.7378e-02      4.3688e-03      1.6694e-03    4.184e-01     1.318e+02       1.51e+01    1.90e+00    443835 
    200.000     199.843         8.000      250.637      1.5957e-01      2.4371e-02      3.8889e-03      1.4865e-03    3.726e-01     1.480e+02       1.34e+01    1.69e+00    443703 
    200.000     199.843         9.000      250.637      1.5957e-01      2.2134e-02      3.5319e-03      1.3506e-03    3.385e-01     1.629e+02       1.22e+01    1.54e+00    443701 
    200.000     199.843         10.000      250.637      1.5957e-01      2.0157e-02      3.2165e-03      1.2281e-03    3.078e-01     1.791e+02       1.11e+01    1.40e+00    443797 
   300.000     299.843         0.010      51.113      1.5073e-01      0.0000e+00      0.0000e+00      0.0000e+00    0.000e+00     nan       0.00e+00    0.00e+00    0 
    300.000     299.843         0.015      51.113      1.5073e-01      1.2115e-06      1.8261e-07      1.1797e-07    6.030e-06     1.865e+06       2.18e-04    2.74e-05    7 
    300.000     299.843         0.020      51.113      1.5073e-01      1.1952e-05      1.8016e-06      1.0527e-06    5.380e-05     2.090e+05       1.94e-03    2.45e-04    80 
    300.000     299.843         0.025      51.113      1.5073e-01      6.1385e-05      9.2526e-06      5.6656e-06    2.896e-04     3.883e+04       1.05e-02    1.32e-03    245 
    300.000     299.843         0.030      51.113      1.5073e-01      1.6490e-04      2.4856e-05      1.4864e-05    7.597e-04     1.480e+04       2.74e-02    3.45e-03    572 
    300.000     299.843         0.040      51.113      1.5073e-01      6.0360e-04      9.0981e-05      5.4734e-05    2.798e-03     4.019e+03       1.01e-01    1.27e-02    1847 
    300.000     299.843         0.050      51.113      1.5073e-01      1.3183e-03      1.9871e-04      1.1832e-04    6.048e-03     1.859e+03       2.18e-01    2.75e-02    3880 
    300.000     299.843         0.060      51.113      1.5073e-01      2.6233e-03      3.9541e-04      2.3455e-04    1.199e-02     9.380e+02       4.33e-01    5.45e-02    7216 
    300.000     299.843         0.070      51.113      1.5073e-01      4.3335e-03      6.5318e-04      3.8416e-04    1.964e-02     5.727e+02       7.09e-01    8.93e-02    11282 
    300.000     299.843         0.080      51.113      1.5073e-01      6.3486e-03      9.5692e-04      5.6385e-04    2.882e-02     3.902e+02       1.04e+00    1.31e-01    16015 
    300.000     299.843         0.090      51.113      1.5073e-01      8.4714e-03      1.2769e-03      7.5099e-04    3.839e-02     2.929e+02       1.39e+00    1.74e-01    21113 
    300.000     299.843         0.100      51.113      1.5073e-01      1.1117e-02      1.6756e-03      9.8163e-04    5.017e-02     2.241e+02       1.81e+00    2.28e-01    27161 
    300.000     299.843         0.150      51.113      1.5073e-01      2.5467e-02      3.8386e-03      2.2417e-03    1.146e-01     9.814e+01       4.14e+00    5.21e-01    60249 
    300.000     299.843         0.200      51.113      1.5073e-01      3.9086e-02      5.8914e-03      3.4358e-03    1.756e-01     6.403e+01       6.34e+00    7.98e-01    93555 
    300.000     299.843         0.250      51.113      1.5073e-01      5.1108e-02      7.7035e-03      4.4989e-03    2.300e-01     4.890e+01       8.30e+00    1.05e+00    124463 
    300.000     299.843         0.300      51.113      1.5073e-01      6.0501e-02      9.1193e-03      5.3227e-03    2.721e-01     4.133e+01       9.82e+00    1.24e+00    151299 
    300.000     299.843         0.400      51.113      1.5073e-01      7.3892e-02      1.1138e-02      6.4990e-03    3.322e-01     3.385e+01       1.20e+01    1.51e+00    195687 
    300.000     299.843         0.500      51.113      1.5073e-01      8.2277e-02      1.2402e-02      7.2351e-03    3.698e-01     3.041e+01       1.34e+01    1.68e+00    230065 
    300.000     299.843         0.600      51.113      1.5073e-01      8.6244e-02      1.3000e-02      7.5805e-03    3.875e-01     2.902e+01       1.40e+01    1.76e+00    254460 
    300.000     299.843         0.700      51.113      1.5073e-01      8.8346e-02      1.3316e-02      7.7577e-03    3.965e-01     2.836e+01       1.43e+01    1.80e+00    274697 
    300.000     299.843         0.800      51.113      1.5073e-01      8.9168e-02      1.3440e-02      7.8155e-03    3.995e-01     2.815e+01       1.44e+01    1.82e+00    290346 
    300.000     299.843         0.900      51.113      1.5073e-01      8.8707e-02      1.3371e-02      7.7809e-03    3.977e-01     2.827e+01       1.44e+01    1.81e+00    302818 
    300.000     299.843         1.000      51.113      1.5073e-01      8.7835e-02      1.3239e-02      7.6873e-03    3.929e-01     2.862e+01       1.42e+01    1.79e+00    312741 
    300.000     299.843         1.500      51.113      1.5073e-01      8.0258e-02      1.2097e-02      6.9893e-03    3.572e-01     3.148e+01       1.29e+01    1.62e+00    344374 
    300.000     299.843         2.000      51.113      1.5073e-01      7.1486e-02      1.0775e-02      6.2034e-03    3.171e-01     3.546e+01       1.14e+01    1.44e+00    358248 
    300.000     299.843         2.500      51.113      1.5073e-01      6.3684e-02      9.5991e-03      5.5099e-03    2.816e-01     3.993e+01       1.02e+01    1.28e+00    365458 
    300.000     299.843         3.000      51.113      1.5073e-01      5.7952e-02      8.7350e-03      4.9988e-03    2.555e-01     4.401e+01       9.22e+00    1.16e+00    370352 
    300.000     299.843         4.000      51.113      1.5073e-01      4.7928e-02      7.2242e-03      4.1179e-03    2.105e-01     5.343e+01       7.60e+00    9.57e-01    375110 
    300.000     299.843         5.000      51.113      1.5073e-01      4.1059e-02      6.1888e-03      3.5226e-03    1.801e-01     6.245e+01       6.50e+00    8.18e-01    377193 
    300.000     299.843         6.000      51.113      1.5073e-01      3.5958e-02      5.4199e-03      3.0794e-03    1.574e-01     7.144e+01       5.68e+00    7.15e-01    378669 
    300.000     299.843         7.000      51.113      1.5073e-01      3.1881e-02      4.8055e-03      2.7253e-03    1.393e-01     8.072e+01       5.03e+00    6.33e-01    379204 
    300.000     299.843         8.000      51.113      1.5073e-01      2.8763e-02      4.3354e-03      2.4545e-03    1.255e-01     8.963e+01       4.53e+00    5.70e-01    379644 
    300.000     299.843         9.000      51.113      1.5073e-01      2.5850e-02      3.8963e-03      2.2020e-03    1.126e-01     9.991e+01       4.06e+00    5.12e-01    379317 
    300.000     299.843         10.000      51.113      1.5073e-01      2.3890e-02      3.6009e-03      2.0346e-03    1.040e-01     1.081e+02       3.75e+00    4.73e-01    379886 
    400.000     399.843         0.010      15.341      2.1826e-01      3.7067e-07      8.0902e-08      4.8312e-08    7.411e-07     4.554e+06       2.68e-05    3.37e-06    1 
    400.000     399.843         0.015      15.341      2.1826e-01      7.5830e-07      1.6550e-07      1.0075e-07    1.546e-06     2.184e+06       5.58e-05    7.03e-06    10 
    400.000     399.843         0.020      15.341      2.1826e-01      8.8007e-06      1.9208e-06      9.9601e-07    1.528e-05     2.209e+05       5.52e-04    6.95e-05    72 
    400.000     399.843         0.025      15.341      2.1826e-01      2.9143e-05      6.3607e-06      3.4313e-06    5.264e-05     6.412e+04       1.90e-03    2.39e-04    209 
    400.000     399.843         0.030      15.341      2.1826e-01      8.5529e-05      1.8667e-05      9.9926e-06    1.533e-04     2.202e+04       5.53e-03    6.97e-04    564 
    400.000     399.843         0.040      15.341      2.1826e-01      3.5440e-04      7.7349e-05      4.0097e-05    6.151e-04     5.487e+03       2.22e-02    2.80e-03    1929 
    400.000     399.843         0.050      15.341      2.1826e-01      9.2172e-04      2.0117e-04      1.0213e-04    1.567e-03     2.154e+03       5.66e-02    7.12e-03    4498 
    400.000     399.843         0.060      15.341      2.1826e-01      1.8590e-03      4.0573e-04      2.0437e-04    3.135e-03     1.076e+03       1.13e-01    1.43e-02    8561 
    400.000     399.843         0.070      15.341      2.1826e-01      3.0694e-03      6.6992e-04      3.3789e-04    5.183e-03     6.511e+02       1.87e-01    2.36e-02    13699 
    400.000     399.843         0.080      15.341      2.1826e-01      4.7204e-03      1.0303e-03      5.1575e-04    7.912e-03     4.266e+02       2.86e-01    3.60e-02    20163 
    400.000     399.843         0.090      15.341      2.1826e-01      6.5817e-03      1.4365e-03      7.1875e-04    1.103e-02     3.061e+02       3.98e-01    5.01e-02    27283 
    400.000     399.843         0.100      15.341      2.1826e-01      8.7773e-03      1.9157e-03      9.5544e-04    1.466e-02     2.303e+02       5.29e-01    6.66e-02    35721 
    400.000     399.843         0.150      15.341      2.1826e-01      2.1271e-02      4.6426e-03      2.3081e-03    3.541e-02     9.532e+01       1.28e+00    1.61e-01    83200 
    400.000     399.843         0.200      15.341      2.1826e-01      3.4318e-02      7.4902e-03      3.7178e-03    5.703e-02     5.917e+01       2.06e+00    2.59e-01    133714 
    400.000     399.843         0.250      15.341      2.1826e-01      4.6130e-02      1.0068e-02      5.0027e-03    7.675e-02     4.398e+01       2.77e+00    3.49e-01    181958 
    400.000     399.843         0.300      15.341      2.1826e-01      5.6077e-02      1.2239e-02      6.0830e-03    9.332e-02     3.617e+01       3.37e+00    4.24e-01    226288 
    400.000     399.843         0.400      15.341      2.1826e-01      7.0813e-02      1.5455e-02      7.6885e-03    1.179e-01     2.861e+01       4.26e+00    5.36e-01    299522 
    400.000     399.843         0.500      15.341      2.1826e-01      8.0131e-02      1.7489e-02      8.7057e-03    1.336e-01     2.527e+01       4.82e+00    6.07e-01    356829 
    400.000     399.843         0.600      15.341      2.1826e-01      8.5363e-02      1.8631e-02      9.2730e-03    1.423e-01     2.372e+01       5.14e+00    6.47e-01    400608 
    400.000     399.843         0.700      15.341      2.1826e-01      8.8709e-02      1.9361e-02      9.6337e-03    1.478e-01     2.284e+01       5.34e+00    6.72e-01    436650 
    400.000     399.843         0.800      15.341      2.1826e-01      9.0086e-02      1.9662e-02      9.7833e-03    1.501e-01     2.249e+01       5.42e+00    6.82e-01    464339 
    400.000     399.843         0.900      15.341      2.1826e-01      9.0384e-02      1.9727e-02      9.8067e-03    1.504e-01     2.243e+01       5.43e+00    6.84e-01    486839 
    400.000     399.843         1.000      15.341      2.1826e-01      9.0156e-02      1.9677e-02      9.7776e-03    1.500e-01     2.250e+01       5.41e+00    6.82e-01    505854 
    400.000     399.843         1.500      15.341      2.1826e-01      8.3852e-02      1.8301e-02      9.0657e-03    1.391e-01     2.427e+01       5.02e+00    6.32e-01    563899 
    400.000     399.843         2.000      15.341      2.1826e-01      7.5149e-02      1.6402e-02      8.0962e-03    1.242e-01     2.717e+01       4.48e+00    5.65e-01    589615 
    400.000     399.843         2.500      15.341      2.1826e-01      6.7756e-02      1.4788e-02      7.2785e-03    1.117e-01     3.023e+01       4.03e+00    5.08e-01    604109 
    400.000     399.843         3.000      15.341      2.1826e-01      6.1427e-02      1.3407e-02      6.5856e-03    1.010e-01     3.341e+01       3.65e+00    4.59e-01    613572 
    400.000     399.843         4.000      15.341      2.1826e-01      5.1750e-02      1.1295e-02      5.5275e-03    8.480e-02     3.980e+01       3.06e+00    3.85e-01    622945 
