 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    300.000     299.843         2.000      3.326      1.5968e-01      6.4584e-02      1.0312e-02      6.7312e-03    2.239e-02     3.268e+01       8.08e-01    1.02e-01    4387060 
    300.000     299.843         2.500      3.326      1.5968e-01      5.6285e-02      8.9873e-03      5.8516e-03    1.946e-02     3.760e+01       7.03e-01    8.85e-02    4437109 
    300.000     299.843         3.000      3.326      1.5968e-01      4.9817e-02      7.9546e-03      5.1680e-03    1.719e-02     4.257e+01       6.21e-01    7.81e-02    4461304 
    300.000     299.843         4.000      3.326      1.5968e-01      4.0362e-02      6.4449e-03      4.1737e-03    1.388e-02     5.271e+01       5.01e-01    6.31e-02    4485294 
    300.000     299.843         5.000      3.326      1.5968e-01      3.3926e-02      5.4171e-03      3.5002e-03    1.164e-02     6.285e+01       4.20e-01    5.29e-02    4493009 
    300.000     299.843         6.000      3.326      1.5968e-01      2.9192e-02      4.6612e-03      3.0081e-03    1.001e-02     7.314e+01       3.61e-01    4.55e-02    4494048 
    300.000     299.843         7.000      3.326      1.5968e-01      2.5674e-02      4.0994e-03      2.6423e-03    8.789e-03     8.326e+01       3.17e-01    3.99e-02    4494565 
    300.000     299.843         8.000      3.326      1.5968e-01      2.2883e-02      3.6539e-03      2.3536e-03    7.829e-03     9.347e+01       2.83e-01    3.56e-02    4493772 
    300.000     299.843         9.000      3.326      1.5968e-01      2.0689e-02      3.3036e-03      2.1268e-03    7.074e-03     1.034e+02       2.55e-01    3.22e-02    4492190 
    300.000     299.843         10.000     3.326      1.5968e-01      1.8835e-02      3.0074e-03      1.9341e-03    6.433e-03     1.137e+02       2.32e-01    2.92e-02    4489988 
    400.000     399.843         0.010      0.964      2.2575e-01      2.0174e-07      4.5543e-08      2.7596e-08    2.661e-08     7.972e+06       9.61e-07    1.21e-07    20 
    400.000     399.843         0.015      0.964      2.2575e-01      4.8921e-06      1.1044e-06      6.7014e-07    6.462e-07     3.283e+05       2.33e-05    2.94e-06    472 
    400.000     399.843         0.020      0.964      2.2575e-01      3.3274e-05      7.5115e-06      4.5220e-06    4.361e-06     4.865e+04       1.57e-04    1.98e-05    2600 
    400.000     399.843         0.025      0.964      2.2575e-01      1.1208e-04      2.5302e-05      1.4939e-05    1.441e-05     1.473e+04       5.20e-04    6.55e-05    7631 
    400.000     399.843         0.030      0.964      2.2575e-01      2.7980e-04      6.3164e-05      3.6733e-05    3.542e-05     5.989e+03       1.28e-03    1.61e-04    17311 
    400.000     399.843         0.040      0.964      2.2575e-01      9.7280e-04      2.1961e-04      1.2627e-04    1.218e-04     1.742e+03       4.40e-03    5.54e-04    54631 
    400.000     399.843         0.050      0.964      2.2575e-01      2.3016e-03      5.1958e-04      2.9627e-04    2.857e-04     7.426e+02       1.03e-02    1.30e-03    118045 
    400.000     399.843         0.060      0.964      2.2575e-01      4.2450e-03      9.5830e-04      5.4504e-04    5.256e-04     4.036e+02       1.90e-02    2.39e-03    206943 
    400.000     399.843         0.070      0.964      2.2575e-01      6.7735e-03      1.5291e-03      8.6700e-04    8.361e-04     2.537e+02       3.02e-02    3.80e-03    316659 
    400.000     399.843         0.080      0.964      2.2575e-01      9.7744e-03      2.2066e-03      1.2471e-03    1.203e-03     1.764e+02       4.34e-02    5.47e-03    443682 
    400.000     399.843         0.090      0.964      2.2575e-01      1.3159e-02      2.9708e-03      1.6771e-03    1.617e-03     1.312e+02       5.84e-02    7.35e-03    584832 
    400.000     399.843         0.100      0.964      2.2575e-01      1.6769e-02      3.7855e-03      2.1332e-03    2.057e-03     1.031e+02       7.43e-02    9.35e-03    734569 
    400.000     399.843         0.150      0.964      2.2575e-01      3.6039e-02      8.1358e-03      4.5722e-03    4.409e-03     4.812e+01       1.59e-01    2.00e-02    1535168 
    400.000     399.843         0.200      0.964      2.2575e-01      5.3256e-02      1.2023e-02      6.7549e-03    6.514e-03     3.257e+01       2.35e-01    2.96e-02    2295645 
    400.000     399.843         0.250      0.964      2.2575e-01      6.6777e-02      1.5075e-02      8.4672e-03    8.165e-03     2.598e+01       2.95e-01    3.71e-02    2955113 
    400.000     399.843         0.300      0.964      2.2575e-01      7.6949e-02      1.7371e-02      9.7580e-03    9.410e-03     2.255e+01       3.40e-01    4.28e-02    3516216 
    400.000     399.843         0.400      0.964      2.2575e-01      8.9582e-02      2.0223e-02      1.1354e-02    1.095e-02     1.938e+01       3.95e-01    4.98e-02    4385056 
    400.000     399.843         0.500      0.964      2.2575e-01      9.5483e-02      2.1555e-02      1.2094e-02    1.166e-02     1.819e+01       4.21e-01    5.30e-02    5001548 
    400.000     399.843         0.600      0.964      2.2575e-01      9.7754e-02      2.2068e-02      1.2371e-02    1.193e-02     1.778e+01       4.31e-01    5.42e-02    5454719 
    400.000     399.843         0.700      0.964      2.2575e-01      9.7898e-02      2.2100e-02      1.2375e-02    1.193e-02     1.778e+01       4.31e-01    5.42e-02    5794393 
    400.000     399.843         0.800      0.964      2.2575e-01      9.6662e-02      2.1822e-02      1.2206e-02    1.177e-02     1.802e+01       4.25e-01    5.35e-02    6053383 
    400.000     399.843         0.900      0.964      2.2575e-01      9.4876e-02      2.1418e-02      1.1963e-02    1.154e-02     1.839e+01       4.16e-01    5.24e-02    6257671 
    400.000     399.843         1.000      0.964      2.2575e-01      9.2588e-02      2.0902e-02      1.1662e-02    1.125e-02     1.887e+01       4.06e-01    5.11e-02    6420239 
