#                prod                mhscp              mrec000 
                 1778                 1400       0.273056033979 
                 1157                 1100       0.396065096907 
                 3685                  150    5.62365341842e-08 
                 3978                 3500      0.0253019204032 
                 1058                 1000       0.404831135508 
                  827                  800        0.42033997482 
                 2631                 1100        0.27387246082 
                 1179                  350        0.15095369567 
                 1844                  800       0.335784759078 
                 2320                 1300       0.316139621548 
                 2921                 2400      0.0659341802511 
                 1040                  500       0.360266241996 
                 3621                 1100       0.116349309936 
                 1665                 1600       0.230257695079 
                  455                  450       0.375141196252 
                 1571                 1400        0.27772610301 
                 3337                 2200      0.0809478477894 
                 1394                  800       0.416311785739 
                  880                  400       0.323353866467 
                 2532                  300    0.000434044398133 
                 5100                  550    0.000138534074393 
                 3001                 2200      0.0910022497825 
                 5100                 1300      0.0130811110857 
                  833                  350       0.281577353194 
                 4252                  500    0.000158735465245 
                 2046                  350      0.0127054605253 
                 5100                 1800      0.0720600006943 
                 3506                 2600      0.0574745814787 
                  122                  100      0.0926210167672 
                 5100                 4500     0.00458833240396 
                 5100                  150    6.11058093752e-06 
                 1160                 1000       0.403475073195 
                 2989                  400    0.000942433895115 
                 1805                 1800       0.225998718347 
                 2210                  150    2.94241168336e-05 
                  922                  100     0.00192258393551 
                 1489                 1000       0.411924455409 
                 3003                  250     5.0365560879e-05 
                 1018                  700       0.419357779801 
                 2605                 2600      0.0663082085326 
                 1029                  300       0.141103780497 
                 2497                  900       0.231787825185 
                 1851                  150    7.01291945431e-05 
                 4487                 3000      0.0437490476903 
                  590                  200       0.174096958591 
                 2405                 2400      0.0732536578747 
                 5100                  400    1.08402214672e-05 
                  734                  150      0.0431188308852 
                  652                  600       0.389490168108 
                 2565                 2200      0.0983847625831 
                 2636                 2600      0.0666307171407 
                  367                  250       0.298379561928 
                 2081                  250    0.000882421943913 
                 3030                 1200        0.23237121085 
                 2138                 1400       0.261537419089 
                 3671                 3500      0.0283933660538 
                  274                  250        0.29360468523 
                  505                  500       0.387451382771 
                  899                  500       0.381865773018 
                 5100                 3500       0.028663331028 
                 1618                 1500       0.231802634637 
                 2679                 2000       0.145806747615 
                 1414                  350      0.0883728057833 
                  905                  900       0.424228919093 
                  928                  900       0.426172840188 
                 1113                  800       0.419370199772 
                 3580                 1000      0.0923334395482 
                  757                  400        0.35290193331 
