#                prod                mhscp              mrec400 
                 5100                  250                  0.0 
                 4261                 1200       0.408488599122 
                 4005                 4000      0.0280125690147 
                 1336                  100                  0.0 
                  346                  300                  0.0 
                 4688                 4000       0.020396064569 
                 3169                  100                  0.0 
                  499                  450                  0.0 
                 2539                  800       0.510792334833 
                 2661                 1300        0.54789045985 
                 2622                 2400       0.141454047267 
                 1508                  700       0.525666861345 
                 1018                  800       0.448485398904 
                  757                  400                  0.0 
                  926                  450                  0.0 
                  417                  200                  0.0 
                 1230                 1200        0.49771669171 
                 4358                 2000       0.249319732946 
                 2121                  900       0.564933640729 
                  475                  450                  0.0 
                 3780                 2200       0.181954512136 
                 2525                  450                  0.0 
                 3579                  600                  0.0 
                  731                  300                  0.0 
                 2081                  550                  0.0 
                 2591                 1200       0.575496321383 
                 1594                  800       0.536091169247 
                  928                  900       0.433660423847 
                  710                  350                  0.0 
                  223                  200                  0.0 
                 3163                 3000      0.0909267341706 
                 1160                 1000        0.46494236829 
                 1405                 1400        0.44062406969 
                 1618                 1500       0.405170454659 
                 2472                 2000       0.274310420761 
                 4579                 4500      0.0126327709175 
                 3147                 1400       0.455671515298 
                 5100                 1600        0.31117700222 
                  827                  800       0.431773538525 
                  537                  300                  0.0 
                 1236                  800       0.492916697882 
                 2242                 1200       0.576516052475 
                 2117                  600                  0.0 
                  272                  200                  0.0 
                 2568                  200                  0.0 
                 2494                  400                  0.0 
                  284                  100                  0.0 
                 3671                 1600       0.407970278996 
                 1581                 1100       0.534401739109 
                 1796                 1500       0.398127347612 
                  705                  700       0.410485735517 
                 3593                  250                  0.0 
                 1309                 1200       0.492510369445 
                 1027                  200                  0.0 
                 5100                  350                  0.0 
                 3030                 1200       0.559313583771 
                 2532                  300                  0.0 
                 3693                 3000      0.0841984677467 
                 5100                 4000      0.0180241475292 
                 3559                  350                  0.0 
                 3641                  200                  0.0 
                 2453                  500                  0.0 
                 1750                  550                  0.0 
                 1222                  400                  0.0 
                 2474                  700       0.462559539319 
                 2045                  500                  0.0 
                 5100                  800       0.166862478301 
                 4281                 1500       0.363704886906 
                 2147                  200                  0.0 
                 3310                 2000       0.256884054454 
                  350                  150                  0.0 
                 5100                 1400        0.28220661453 
                 2998                  600                  0.0 
                  526                  400                  0.0 
                 2372                 1500       0.437099976712 
                 2032                 2000       0.278039964948 
                 2275                 2200       0.194494234574 
                 2053                 1300       0.530796916192 
