#                prod                 mint                mhscp              mrec000 
                 2917                 1095                  150      0.0158209494047 
                 5100                  277                  150    2.28648785289e-06 
                 2226                  290                  100      0.0099776219988 
                  412                  207                  100       0.107278826169 
                 4475                 2392                  100    3.00423205031e-07 
                 2167                  579                  150      0.0529717785515 
                 5100                  255                  250                  0.0 
                  115                  107                  100      0.0909534798159 
                 1588                 1583                  150     0.00374446050049 
                 3416                 1910                  100    3.52662351278e-07 
                  279                  216                  100       0.122107112675 
                  688                  325                  150       0.163704527533 
                 3416                  188                  100    7.89657440588e-06 
                 3916                  641                  100       0.015169155476 
                  853                  423                  100      0.0464556194169 
                  152                  124                  100      0.0935141525533 
                 5100                 1591                  150      0.0027981462969 
                  284                  155                  150       0.223440764365 
                 2226                  175                  100    3.62317560431e-05 
                 1352                  939                  150      0.0144922788562 
                  279                  170                  100       0.121527905743 
                  716                  105                  100     0.00971709856087 
                 1195                  353                  100      0.0396863599545 
                  970                  155                  150      0.0141603817494 
                  338                  275                  150       0.232278906604 
                  497                  105                  100      0.0370199381074 
                 1147                 1142                  150      0.0104273144687 
                 1012                  223                  100      0.0355997389171 
                 2167                  898                  150      0.0271826712513 
                 1858                  354                  150      0.0358766045964 
                  483                  361                  150        0.19453247287 
                 4454                  271                  150    2.23318082511e-07 
                 2167                 1393                  150    0.000759951315292 
                  228                  127                  100       0.119167486406 
                 1858                  536                  150      0.0619743847041 
                 3369                  155                  150    1.17464483128e-07 
                 2917                 1786                  150    9.97144586496e-05 
                 1644                 1639                  100    0.000665757830886 
                  240                  155                  150       0.213755719959 
                 2917                 2912                  150    0.000519608360907 
                  284                  180                  150       0.213540892576 
                 3880                  453                  150     0.00921492945049 
                  853                  211                  100      0.0460090757166 
                 4475                 1280                  100     0.00125193939098 
                 1917                 1179                  100    0.000193668183172 
                 2167                  155                  150    4.08135975371e-06 
                 5100                 1188                  100     0.00378640571204 
                 3916                 3911                  100    0.000118458474162 
                 1352                  222                  150      0.0142902222709 
                  284                  241                  150       0.221078915448 
                  497                  334                  100        0.08036255292 
                 3841                  205                  200                  0.0 
                 1917                  727                  100      0.0121643600349 
                 5100                  889                  150      0.0274040175619 
                 5100                  155                  150                  0.0 
                 3880                  155                  150                  0.0 
                  203                  155                  150       0.196222619602 
                  577                  155                  150      0.0923580968067 
                  338                  333                  150       0.225786846965 
                 3369                 3364                  150    0.000715081678623 
                 1404                  162                  100     0.00206520734187 
                  970                  711                  150      0.0465581462763 
                 3416                  598                  100      0.0168621388986 
                  688                  155                  150      0.0582550245769 
                 2576                  305                  100     0.00761848569473 
                 2917                  155                  150    3.44260108337e-06 
                  818                  355                  150       0.137805160722 
                 2518                  624                  150      0.0469056192652 
                 2518                 2513                  150     0.00108994721371 
                 3880                 2266                  150    1.08468928548e-05 
                 4454                 1453                  150     0.00533743095368 
                  483                  272                  150       0.201576766718 
                  412                  147                  100      0.0974021115262 
                 1352                  155                  150     0.00161322687603 
                 4454                  155                  150    2.75419768171e-09 
                 1858                 1225                  150     0.00236393372485 
                 3916                  192                  100     1.0945178861e-05 
                 1917                  448                  100      0.0253773654202 
                  483                  478                  150       0.149734854725 
                  577                  298                  150        0.18257215599 
                 1195                 1190                  100      0.0015465641223 
                 4454                 2543                  150    2.56166851367e-05 
                  186                  105                  100       0.116917814018 
                  970                  525                  150       0.096585295985 
                 5100                  171                  100    2.83611455407e-09 
                  853                  105                  100     0.00412041416499 
                  279                  274                  100       0.121266265211 
                  186                  138                  100       0.107440617886 
                 1644                 1037                  100    0.000716901795094 
                  818                  155                  150      0.0314990546473 
                  279                  133                  100       0.119098162372 
                  228                  223                  100       0.133737616967 
                 1588                  495                  150      0.0699747301798 
                  339                  105                  100       0.091733212053 
                  688                  225                  150       0.133218055155 
                  240                  235                  150       0.228067454808 
                  970                  210                  150      0.0472891992388 
                  228                  105                  100        0.12783466987 
                 1404                  590                  100      0.0208425706111 
                  152                  147                  100         0.1071147418 
                 1147                  421                  150      0.0979299143302 
                 2917                  253                  150    0.000129889378899 
                 2576                  520                  100      0.0202658786308 
                 3416                  335                  100     0.00419119224189 
                 5100                 5095                  100     6.7170007613e-05 
