#            mhscp               ctau              width        SR2FULL_350
     1.7000000e+03      1.9732700e+04      1.0000000e-20      8.9455096e-02
     1.7000000e+03      1.9732700e+02      1.0000000e-18      7.8613539e-02
     1.7000000e+03      6.1664687e+01      3.2000000e-18      5.9315917e-02
     1.7000000e+03      1.3155133e+01      1.5000000e-17      1.4503984e-02
     1.7000000e+03      8.9694091e+00      2.2000000e-17      6.6806452e-03
     1.7000000e+03      6.1664687e+00      3.2000000e-17      2.3303169e-03
     1.7000000e+03      4.2897174e+00      4.6000000e-17      5.7854120e-04
     1.7000000e+03      2.9018676e+00      6.8000000e-17      7.5036521e-05
     1.7000000e+03      1.9732700e+00      1.0000000e-16      4.9587618e-06
     1.7000000e+03      1.3155133e+00      1.5000000e-16      1.1365612e-07
     1.7000000e+03      8.9694091e-01      2.2000000e-16      1.1261281e-09
