#            mhscp               ctau              width        SR2FULL_350
     8.5000000e+02      1.0000000e+99      0.0000000e+00      1.9887934e-01
     8.5000000e+02      1.9732700e+04      1.0000000e-20      1.9864710e-01
     8.5000000e+02      1.9732700e+02      1.0000000e-18      1.7706994e-01
     8.5000000e+02      6.1664687e+01      3.2000000e-18      1.3778599e-01
     8.5000000e+02      1.3155133e+01      1.5000000e-17      3.9374579e-02
     8.5000000e+02      8.9694091e+00      2.2000000e-17      1.9872888e-02
     8.5000000e+02      6.1664687e+00      3.2000000e-17      7.9362671e-03
     8.5000000e+02      4.2897174e+00      4.6000000e-17      2.4103438e-03
     8.5000000e+02      2.9018676e+00      6.8000000e-17      4.3908636e-04
     8.5000000e+02      1.9732700e+00      1.0000000e-16      4.8332095e-05
     8.5000000e+02      1.3155133e+00      1.5000000e-16      2.3489074e-06
     8.5000000e+02      8.9694091e-01      2.2000000e-16      5.7587906e-08
     8.5000000e+02      6.1664687e-01      3.2000000e-16      5.3368952e-10
     8.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     9.0000000e+02      1.0000000e+99      0.0000000e+00      1.9337284e-01
     9.0000000e+02      1.9732700e+04      1.0000000e-20      1.9314500e-01
     9.0000000e+02      1.9732700e+02      1.0000000e-18      1.7198778e-01
     9.0000000e+02      6.1664687e+01      3.2000000e-18      1.3353131e-01
     9.0000000e+02      1.3155133e+01      1.5000000e-17      3.7723235e-02
     9.0000000e+02      8.9694091e+00      2.2000000e-17      1.8908222e-02
     9.0000000e+02      6.1664687e+00      3.2000000e-17      7.4708635e-03
     9.0000000e+02      4.2897174e+00      4.6000000e-17      2.2303097e-03
     9.0000000e+02      2.9018676e+00      6.8000000e-17      3.9325087e-04
     9.0000000e+02      1.9732700e+00      1.0000000e-16      4.0929428e-05
     9.0000000e+02      1.3155133e+00      1.5000000e-16      1.8058592e-06
     9.0000000e+02      8.9694091e-01      2.2000000e-16      3.8027794e-08
     9.0000000e+02      6.1664687e-01      3.2000000e-16      2.7547667e-10
     9.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     9.5000000e+02      1.0000000e+99      0.0000000e+00      1.8787168e-01
     9.5000000e+02      1.9732700e+04      1.0000000e-20      1.8764856e-01
     9.5000000e+02      1.9732700e+02      1.0000000e-18      1.6693921e-01
     9.5000000e+02      6.1664687e+01      3.2000000e-18      1.2935088e-01
     9.5000000e+02      1.3155133e+01      1.5000000e-17      3.6175754e-02
     9.5000000e+02      8.9694091e+00      2.2000000e-17      1.8032445e-02
     9.5000000e+02      6.1664687e+00      3.2000000e-17      7.0718298e-03
     9.5000000e+02      4.2897174e+00      4.6000000e-17      2.0909158e-03
     9.5000000e+02      2.9018676e+00      6.8000000e-17      3.6390711e-04
     9.5000000e+02      1.9732700e+00      1.0000000e-16      3.7390068e-05
     9.5000000e+02      1.3155133e+00      1.5000000e-16      1.6421187e-06
     9.5000000e+02      8.9694091e-01      2.2000000e-16      3.5106584e-08
     9.5000000e+02      6.1664687e-01      3.2000000e-16      2.6298996e-10
     9.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.0000000e+03      1.0000000e+99      0.0000000e+00      1.8334095e-01
     1.0000000e+03      1.9732700e+04      1.0000000e-20      1.8312105e-01
     1.0000000e+03      1.9732700e+02      1.0000000e-18      1.6272216e-01
     1.0000000e+03      6.1664687e+01      3.2000000e-18      1.2576507e-01
     1.0000000e+03      1.3155133e+01      1.5000000e-17      3.4724369e-02
     1.0000000e+03      8.9694091e+00      2.2000000e-17      1.7177982e-02
     1.0000000e+03      6.1664687e+00      3.2000000e-17      6.6602212e-03
     1.0000000e+03      4.2897174e+00      4.6000000e-17      1.9351628e-03
     1.0000000e+03      2.9018676e+00      6.8000000e-17      3.2674999e-04
     1.0000000e+03      1.9732700e+00      1.0000000e-16      3.2042195e-05
     1.0000000e+03      1.3155133e+00      1.5000000e-16      1.3170706e-06
     1.0000000e+03      8.9694091e-01      2.2000000e-16      2.6369824e-08
     1.0000000e+03      6.1664687e-01      3.2000000e-16      1.7884373e-10
     1.0000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.1000000e+03      1.0000000e+99      0.0000000e+00      1.7067702e-01
     1.1000000e+03      1.9732700e+04      1.0000000e-20      1.7047022e-01
     1.1000000e+03      1.9732700e+02      1.0000000e-18      1.5129901e-01
     1.1000000e+03      6.1664687e+01      3.2000000e-18      1.1663453e-01
     1.1000000e+03      1.3155133e+01      1.5000000e-17      3.1790114e-02
     1.1000000e+03      8.9694091e+00      2.2000000e-17      1.5608542e-02
     1.1000000e+03      6.1664687e+00      3.2000000e-17      5.9854978e-03
     1.1000000e+03      4.2897174e+00      4.6000000e-17      1.7113845e-03
     1.1000000e+03      2.9018676e+00      6.8000000e-17      2.8129804e-04
     1.1000000e+03      1.9732700e+00      1.0000000e-16      2.6425737e-05
     1.1000000e+03      1.3155133e+00      1.5000000e-16      1.0092152e-06
     1.1000000e+03      8.9694091e-01      2.2000000e-16      1.8430499e-08
     1.1000000e+03      6.1664687e-01      3.2000000e-16      1.1791951e-10
     1.1000000e+03      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.2000000e+03      1.0000000e+99      0.0000000e+00      1.5695846e-01
     1.2000000e+03      1.9732700e+04      1.0000000e-20      1.5676460e-01
     1.2000000e+03      1.9732700e+02      1.0000000e-18      1.3881134e-01
     1.2000000e+03      6.1664687e+01      3.2000000e-18      1.0645820e-01
     1.2000000e+03      1.3155133e+01      1.5000000e-17      2.8243734e-02
     1.2000000e+03      8.9694091e+00      2.2000000e-17      1.3652525e-02
     1.2000000e+03      6.1664687e+00      3.2000000e-17      5.1211697e-03
     1.2000000e+03      4.2897174e+00      4.6000000e-17      1.4201804e-03
