#            mprod              mhscp              width               c300
     1.4050000e+03      1.4000000e+03      1.5000000e-16      7.3881386e-05
     1.4050000e+03      1.4000000e+03      2.2000000e-16      3.7157359e-06
     1.4050000e+03      1.4000000e+03      3.2000000e-16      7.8786778e-08
     1.4050000e+03      1.4000000e+03      4.6000000e-16      6.0234511e-10
     1.0000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.0500000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.4050000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.4100000e+03      1.4000000e+03      1.0000000e-22      2.6672526e-01
     1.4100000e+03      1.4000000e+03      0.0000000e+00      2.6672717e-01
     1.4100000e+03      1.4000000e+03      1.0000000e-18      2.4835677e-01
     1.4100000e+03      1.4000000e+03      5.6000000e-18      1.8001693e-01
     1.4100000e+03      1.4000000e+03      1.5000000e-17      9.5752131e-02
     1.4100000e+03      1.4000000e+03      3.2000000e-17      3.2650983e-02
     1.4100000e+03      1.4000000e+03      4.6000000e-17      1.4157004e-02
     1.4100000e+03      1.4000000e+03      6.8000000e-17      4.1090739e-03
     1.4100000e+03      1.4000000e+03      1.0000000e-16      7.7797548e-04
     1.4100000e+03      1.4000000e+03      1.5000000e-16      7.3116831e-05
     1.4100000e+03      1.4000000e+03      2.2000000e-16      3.7058748e-06
     1.4100000e+03      1.4000000e+03      3.2000000e-16      8.0861063e-08
     1.4100000e+03      1.4000000e+03      4.6000000e-16      6.6110280e-10
     1.0500000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.1000000e+02      7.5000000e+01      0.0000000e+00      0.0000000e+00
     1.4100000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.4200000e+03      1.4000000e+03      1.0000000e-22      2.6646778e-01
     1.4200000e+03      1.4000000e+03      0.0000000e+00      2.6646969e-01
     1.4200000e+03      1.4000000e+03      1.0000000e-18      2.4810341e-01
     1.4200000e+03      1.4000000e+03      5.6000000e-18      1.7976521e-01
     1.4200000e+03      1.4000000e+03      1.5000000e-17      9.5500296e-02
     1.4200000e+03      1.4000000e+03      3.2000000e-17      3.2467180e-02
     1.4200000e+03      1.4000000e+03      4.6000000e-17      1.4039232e-02
     1.4200000e+03      1.4000000e+03      6.8000000e-17      4.0583816e-03
     1.4200000e+03      1.4000000e+03      1.0000000e-16      7.6466688e-04
     1.4200000e+03      1.4000000e+03      1.5000000e-16      7.1487308e-05
     1.4200000e+03      1.4000000e+03      2.2000000e-16      3.6008588e-06
     1.4200000e+03      1.4000000e+03      3.2000000e-16      7.7658469e-08
     1.4200000e+03      1.4000000e+03      4.6000000e-16      6.2593398e-10
     1.1000000e+02      7.5000000e+01      1.0000000e+06      0.0000000e+00
     1.1000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.4200000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.4300000e+03      1.4000000e+03      1.0000000e-22      2.6363926e-01
     1.4300000e+03      1.4000000e+03      0.0000000e+00      2.6364116e-01
     1.4300000e+03      1.4000000e+03      1.0000000e-18      2.4539688e-01
     1.4300000e+03      1.4000000e+03      5.6000000e-18      1.7759977e-01
     1.4300000e+03      1.4000000e+03      1.5000000e-17      9.4198463e-02
