#            mhscp              width               c000               c100               c200               c300
     5.5000000e+01      5.6000000e-15      2.3384303e-19      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-14      4.3180709e-28      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.8000000e-14      9.0939972e-44      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      3.7000000e-14      7.7262691e-81      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-13      1.6210213e-203      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      0.0000000e+00      4.1536393e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-22      4.1536254e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-20      4.1522547e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-19      4.1398148e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.0000000e-19      4.0849775e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-18      4.0174556e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.8000000e-18      3.9117438e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      3.2000000e-18      3.7334246e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.6000000e-18      3.4465156e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-17      2.9767701e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.5000000e-17      2.5204805e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      2.2000000e-17      1.9971451e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      3.2000000e-17      1.4328991e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      4.6000000e-17      9.0107936e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      6.8000000e-17      4.3583343e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-16      1.5263266e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.5000000e-16      3.0498316e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      2.2000000e-16      3.7479463e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      3.2000000e-16      4.9632872e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      4.6000000e-16      1.6003426e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      6.8000000e-16      4.4225726e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-15      7.2352926e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.5000000e-15      4.5851007e-11      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      2.2000000e-15      1.0631111e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      3.2000000e-15      5.5651035e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      5.6000000e-15      2.6321028e-20      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-14      8.1172021e-30      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.8000000e-14      6.8117982e-47      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      3.7000000e-14      3.1180831e-87      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-13      1.2016647e-220      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      0.0000000e+00      1.0236343e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-22      1.0236309e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-20      1.0232898e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-19      1.0201941e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      5.0000000e-19      1.0065492e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-18      9.8975160e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.8000000e-18      9.6346127e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      3.2000000e-18      9.1913581e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      5.6000000e-18      8.4787835e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-17      7.3138260e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.5000000e-17      6.1844608e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      2.2000000e-17      4.8921809e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      3.2000000e-17      3.5030818e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      4.6000000e-17      2.1986247e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      6.8000000e-17      1.0622207e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-16      3.7287450e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.5000000e-16      7.5234941e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      2.2000000e-16      9.0741770e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      3.2000000e-16      8.2823131e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      4.6000000e-16      1.6365226e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      6.8000000e-16      3.7996862e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-15      5.3398743e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.5000000e-15      2.7054074e-11      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      2.2000000e-15      4.6090144e-13      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      3.2000000e-15      1.5347677e-15      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      5.6000000e-15      2.2263075e-21      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-14      6.5609938e-32      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.8000000e-14      7.9477482e-51      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      3.7000000e-14      2.0763999e-95      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-13      8.9832931e-243      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      0.0000000e+00      1.3291895e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-22      1.3291849e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-20      1.3287265e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-19      1.3245667e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.0000000e-19      1.3062387e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-18      1.2836920e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.8000000e-18      1.2484398e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-18      1.1891064e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.6000000e-18      1.0940001e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-17      9.3929888e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-17      7.9033755e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-17      6.2126612e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-17      4.4143562e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      4.6000000e-17      2.7475678e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      6.8000000e-17      1.3177490e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-16      4.6317856e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-16      9.5798896e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-16      1.1962868e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-16      8.0515782e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      4.6000000e-16      3.6355528e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      6.8000000e-16      2.2987718e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-15      2.0075459e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.5000000e-15      5.9172159e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      2.2000000e-15      5.1469756e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.2000000e-15      7.2955099e-17      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      5.6000000e-15      1.7205788e-23      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-14      2.4461897e-35      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.8000000e-14      1.2912033e-56      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      3.7000000e-14      5.4664968e-107      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-13      5.6756211e-274      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      0.0000000e+00      3.6253107e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-22      3.6252976e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-20      3.6240008e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-19      3.6122332e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.0000000e-19      3.5604058e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-18      3.4966938e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.8000000e-18      3.3971800e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      3.2000000e-18      3.2299735e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      5.6000000e-18      2.9627359e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-17      2.5302545e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.5000000e-17      2.1166945e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      2.2000000e-17      1.6512508e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      3.2000000e-17      1.1617370e-02      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      4.6000000e-17      7.1458027e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      6.8000000e-17      3.3803277e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-16      1.1768522e-03      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.5000000e-16      2.4521763e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      2.2000000e-16      3.1864102e-05      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      3.2000000e-16      2.2490143e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      4.6000000e-16      8.7124806e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      6.8000000e-16      2.9554628e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e-15      2.1664351e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
