#          mC1_GeV            mN1_GeV          width_GeV                eff
     4.0026800e+02      4.0009600e+02      1.3164000e-15      4.5912000e-03
     4.0026800e+02      4.0009600e+02      1.0970000e-15      4.9308000e-03
     4.0026800e+02      4.0009600e+02      9.4028571e-16      5.1224000e-03
     4.0026800e+02      4.0009600e+02      8.2275000e-16      5.2071000e-03
     4.0026800e+02      4.0009600e+02      7.3133333e-16      5.2215000e-03
     4.0026800e+02      4.0009600e+02      6.5820000e-16      5.2004000e-03
     4.0026800e+02      4.0009600e+02      4.3880000e-16      4.7641000e-03
     4.0026800e+02      4.0009600e+02      3.2910000e-16      4.2425000e-03
     4.0026800e+02      4.0009600e+02      2.6328000e-16      3.7796000e-03
     4.0026800e+02      4.0009600e+02      2.1940000e-16      3.3873000e-03
     4.0026800e+02      4.0009600e+02      1.6455000e-16      2.7920000e-03
     4.0026800e+02      4.0009600e+02      1.3164000e-16      2.3660000e-03
     4.0026800e+02      4.0009600e+02      1.0970000e-16      2.0521000e-03
     4.0026800e+02      4.0009600e+02      9.4028571e-17      1.8102000e-03
     4.0026800e+02      4.0009600e+02      8.2275000e-17      1.6188000e-03
     4.0026800e+02      4.0009600e+02      7.3133333e-17      1.4620000e-03
     4.0026800e+02      4.0009600e+02      6.5820000e-17      1.3328000e-03
     5.0023500e+02      5.0006200e+02      6.5820000e-14      5.2446000e-12
     5.0023500e+02      5.0006200e+02      4.3880000e-14      1.5241000e-08
     5.0023500e+02      5.0006200e+02      3.2910000e-14      1.2088000e-07
     5.0023500e+02      5.0006200e+02      2.6328000e-14      8.6127000e-07
     5.0023500e+02      5.0006200e+02      2.1940000e-14      2.3532000e-06
     5.0023500e+02      5.0006200e+02      1.6455000e-14      1.1913000e-05
     5.0023500e+02      5.0006200e+02      1.3164000e-14      3.4312000e-05
     5.0023500e+02      5.0006200e+02      1.0970000e-14      7.4256000e-05
     5.0023500e+02      5.0006200e+02      9.4028571e-15      1.3195000e-04
     5.0023500e+02      5.0006200e+02      8.2275000e-15      2.0708000e-04
     5.0023500e+02      5.0006200e+02      7.3133333e-15      3.0184000e-04
     5.0023500e+02      5.0006200e+02      6.5820000e-15      4.1255000e-04
     5.0023500e+02      5.0006200e+02      4.3880000e-15      1.1224000e-03
     5.0023500e+02      5.0006200e+02      3.2910000e-15      1.9304000e-03
     5.0023500e+02      5.0006200e+02      2.6328000e-15      2.6989000e-03
     5.0023500e+02      5.0006200e+02      2.1940000e-15      3.3764000e-03
     5.0023500e+02      5.0006200e+02      1.6455000e-15      4.4325000e-03
